city,latitutes,longtitudes,temperature (F),Temp_max (F),humidity,cloudiness,wind speed,date,country
kavieng,-2.5744,150.7967,27.19,27.19,80,88,3.01,1644434598,PG
port elizabeth,-33.918,25.5701,17.16,19.5,88,0,2.57,1644434332,ZA
kokopo,-4.352,152.2633,25.66,25.66,81,93,1.32,1644434600,PG
ushuaia,-54.8,-68.3,11.81,12.79,43,75,8.23,1644434601,AR
saint-joseph,-21.3667,55.6167,23.21,23.21,80,66,3.3,1644434602,RE
rikitea,-23.1203,-134.9692,25.99,25.99,67,0,7.37,1644434603,PF
port alfred,-33.5906,26.891,20.23,20.23,84,1,3.39,1644434604,ZA
lusambo,-4.9667,23.45,21.37,21.37,98,100,1.3,1644434619,CD
saint-philippe,-21.3585,55.7679,23.77,23.77,82,83,3.05,1644434621,RE
namatanai,-3.6667,152.4333,25.98,25.98,82,42,0.31,1644434622,PG
punta arenas,-53.15,-70.9167,10.85,11.06,54,75,12.35,1644434622,CL
madimba,-10.4,40.3333,26.67,26.67,83,100,4.66,1644434626,TZ
hermanus,-34.4187,19.2345,19.89,21.06,89,13,4.72,1644434643,ZA
gurinhem,-7.1239,-35.4244,29.78,32.6,48,35,6.81,1644434644,BR
trinidad,-14.8333,-64.9,32.99,32.99,52,75,1.03,1644434645,BO
gizo,-8.103,156.8419,27.87,27.87,78,92,4.73,1644434645,SB
geraldton,-28.7667,114.6,18.23,18.23,77,0,3.6,1644434381,AU
christchurch,-43.5333,172.6333,17.51,18.28,97,100,1.03,1644434402,NZ
walvis bay,-22.9575,14.5053,20.53,21.16,83,0,3.09,1644434647,
vaini,-21.2,-175.2,26.09,26.09,94,20,3.09,1644434648,TO
general pico,-35.6566,-63.7568,32.68,32.68,28,0,5.89,1644434454,AR
puerto ayora,-0.7393,-90.3518,27.98,27.98,72,70,4.41,1644434649,EC
bredasdorp,-34.5322,20.0403,19.62,19.62,77,7,6.17,1644434650,ZA
mahebourg,-20.4081,57.7,24.16,24.16,88,75,2.57,1644434665,MU
busselton,-33.65,115.3333,16.16,16.16,69,8,4.88,1644434666,AU
castro,-24.7911,-50.0119,23.04,23.04,65,7,1.09,1644434666,BR
acari,-15.4311,-74.6158,27.72,27.72,53,10,5.43,1644434667,PE
bambous virieux,-20.3428,57.7575,24.14,24.14,88,75,2.57,1644434669,MU
touros,-5.1989,-35.4608,31.5,31.5,59,99,5.99,1644434670,BR
hobart,-42.8794,147.3294,14.69,15.92,78,75,3.09,1644434514,AU
chuy,-33.6971,-53.4616,23.29,23.29,57,70,5.09,1644434672,UY
sao gabriel da cachoeira,-0.1303,-67.0892,27.89,27.89,83,75,2.06,1644434689,BR
faanui,-16.4833,-151.75,27.32,27.32,77,21,7.26,1644434690,PF
sao felix do xingu,-6.6447,-51.995,25.85,25.85,94,100,0.63,1644434691,BR
coquimbo,-29.9533,-71.3436,19.85,19.85,72,75,5.14,1644434596,CL
kaitangata,-46.2817,169.8464,14.79,14.79,99,100,3.56,1644434711,NZ
mataura,-46.1927,168.8643,15.27,15.27,99,100,0.63,1644434711,NZ
caravelas,-17.7125,-39.2481,28.58,28.58,66,6,4.78,1644434716,BR
atuona,-9.8,-139.0333,25.51,25.51,79,25,8.09,1644434718,PF
avarua,-21.2078,-159.775,26.03,26.03,83,20,2.06,1644434719,CK
jacareacanga,-6.2222,-57.7528,24.69,24.69,90,100,1.06,1644434563,BR
arraial do cabo,-22.9661,-42.0278,23.92,23.92,78,75,2.57,1644434737,BR
cape town,-33.9258,18.4232,20.57,21.6,80,0,3.09,1644434504,ZA
byron bay,-28.65,153.6167,16.13,17.97,86,6,2.42,1644434737,AU
kruisfontein,-34.0033,24.7314,18.27,18.27,82,0,1.78,1644434738,ZA
kawalu,-7.3817,108.2082,22.66,22.66,94,100,0.86,1644434739,ID
te anau,-45.4167,167.7167,16.32,16.32,95,46,1.37,1644434739,NZ
puyo,-1.4667,-77.9833,22.58,23.26,88,75,0.0,1644434740,EC
cabinda,-5.55,12.2,25.51,25.51,82,47,3.65,1644434741,AO
gold coast,-28.0,153.4333,18.4,19.46,92,0,2.57,1644434741,AU
olinda,-8.0089,-34.8553,29.85,29.85,62,40,3.6,1644434757,BR
amuntai,-2.4177,115.2494,23.04,23.04,99,100,0.64,1644434758,ID
pangai,-19.8,-174.35,26.79,26.79,82,100,7.95,1644434762,TO
coihaique,-45.5752,-72.0662,18.97,20.34,30,40,6.69,1644434692,CL
necochea,-38.5473,-58.7368,29.46,29.46,37,100,3.75,1644434752,AR
sao joao da barra,-21.6403,-41.0511,26.05,26.05,88,100,5.31,1644434781,BR
vanimo,-2.6741,141.3028,24.77,24.77,90,93,1.44,1644434781,PG
ulladulla,-35.35,150.4667,16.98,17.83,60,6,1.84,1644434784,AU
madingou,-4.1536,13.55,24.13,24.13,87,100,0.56,1644434784,CG
new norfolk,-42.7826,147.0587,14.38,15.72,65,98,0.89,1644434786,AU
sasolburg,-26.8136,27.817,20.38,20.38,52,75,2.66,1644434786,ZA
camapua,-19.5314,-54.0439,30.21,30.21,34,88,1.36,1644434787,BR
pozo colorado,-23.4923,-58.7972,38.06,38.06,15,0,2.46,1644434788,PY
itarema,-2.9248,-39.9167,28.93,28.93,64,45,5.95,1644434803,BR
alofi,-19.0595,-169.9187,25.94,25.94,89,100,2.06,1644434804,NU
hithadhoo,-0.6,73.0833,28.16,28.16,71,13,5.98,1644434805,MV
mollendo,-17.0231,-72.0147,23.03,23.03,66,21,4.1,1644434808,PE
vao,-22.6667,167.4833,26.83,26.83,88,100,12.44,1644434809,NC
bluff,-46.6,168.3333,15.45,15.45,96,73,2.93,1644434810,NZ
namibe,-15.1961,12.1522,23.87,23.87,75,100,5.4,1644434827,AO
mangai,-4.05,19.5333,24.85,24.85,69,97,0.58,1644434827,CD
santiago del estero,-27.7951,-64.2615,34.82,34.82,23,0,3.83,1644434667,AR
ambon,-3.6954,128.1814,24.08,24.08,94,40,2.57,1644434831,ID
luderitz,-26.6481,15.1594,24.63,24.63,48,2,8.61,1644434831,
ruteng,-8.6136,120.4721,17.54,17.54,92,100,0.22,1644434832,ID
tual,-5.6667,132.75,28.36,28.36,75,100,7.57,1644434853,ID
mar del plata,-38.0023,-57.5575,22.71,27.01,69,0,4.92,1644434854,AR
la ligua,-32.4524,-71.2311,19.88,19.88,54,0,4.22,1644434856,CL
port keats,-14.25,129.55,26.41,26.41,84,78,1.24,1644434857,AU
souillac,-20.5167,57.5167,24.21,24.21,88,75,2.57,1644434857,MU
pandamatenga,-18.5278,25.627,20.72,20.72,81,9,2.48,1644434875,BW
moron,-34.6534,-58.6198,27.46,30.01,49,4,3.13,1644434877,AR
buala,-8.145,159.5921,26.12,26.12,84,38,3.03,1644434878,SB
camana,-16.6228,-72.7111,23.69,23.69,65,12,4.04,1644434879,PE
east london,-33.0153,27.9116,22.09,22.09,77,1,3.62,1644434879,ZA
pisco,-13.7,-76.2167,21.03,23.34,83,40,4.12,1644434881,PE
san vicente de canete,-13.0751,-76.3835,23.25,23.25,72,55,4.16,1644434898,PE
santa maria,-29.6842,-53.8069,28.61,28.61,37,20,3.6,1644434900,BR
carnarvon,-24.8667,113.6333,24.04,24.04,78,0,6.69,1644434900,AU
mendi,-6.1761,143.6513,13.04,13.04,97,92,0.88,1644434733,PG
kikwit,-5.041,18.8162,24.8,24.8,67,36,1.19,1644434903,CD
