city,latitutes,longtitudes,temperature (F),Temp_max (F),humidity,cloudiness,wind speed,date,country
ust-tsilma,65.441,52.1498,-9.9,-9.9,87,100,5.76,1644434596,RU
yellowknife,62.456,-114.3525,-23.71,-23.71,70,100,4.12,1644434475,CA
ribeira grande,38.5167,-28.7,16.22,16.22,67,20,5.14,1644434597,PT
tiksi,71.6872,128.8694,-24.57,-24.57,93,100,5.79,1644434597,RU
kavieng,-2.5744,150.7967,27.19,27.19,80,88,3.01,1644434598,PG
ostrovnoy,68.0531,39.5131,-4.13,-4.13,85,100,10.41,1644434598,RU
portland,45.5234,-122.6762,9.6,12.61,83,100,0.45,1644434291,US
port elizabeth,-33.918,25.5701,17.16,19.5,88,0,2.57,1644434332,ZA
sao filipe,14.8961,-24.4956,24.93,24.93,60,7,2.2,1644434599,CV
kokopo,-4.352,152.2633,25.66,25.66,81,93,1.32,1644434600,PG
butaritari,3.0707,172.7902,27.65,27.65,78,100,7.18,1644434600,KI
ushuaia,-54.8,-68.3,11.81,12.79,43,75,8.23,1644434601,AR
taiyuan,37.8694,112.5603,-10.08,-10.08,73,0,1.0,1644434303,CN
leshukonskoye,64.8989,45.7622,-8.1,-8.1,93,100,4.75,1644434601,RU
puerto escondido,15.85,-97.0667,27.46,27.46,69,0,5.14,1644434602,MX
saint-joseph,-21.3667,55.6167,23.21,23.21,80,66,3.3,1644434602,RE
bethel,41.3712,-73.414,6.31,8.47,51,0,3.6,1644434603,US
rikitea,-23.1203,-134.9692,25.99,25.99,67,0,7.37,1644434603,PF
port alfred,-33.5906,26.891,20.23,20.23,84,1,3.39,1644434604,ZA
albany,42.6001,-73.9662,3.64,6.72,55,12,0.89,1644434481,US
lusambo,-4.9667,23.45,21.37,21.37,98,100,1.3,1644434619,CD
khatanga,71.9667,102.5,-18.83,-18.83,92,100,6.47,1644434620,RU
wanning,18.8003,110.3967,21.76,21.76,93,97,2.27,1644434620,CN
lompoc,34.6391,-120.4579,25.21,28.4,23,0,2.06,1644434489,US
punto fijo,11.6956,-70.1996,28.55,28.55,57,99,10.86,1644434621,VE
saint-philippe,-21.3585,55.7679,23.77,23.77,82,83,3.05,1644434621,RE
namatanai,-3.6667,152.4333,25.98,25.98,82,42,0.31,1644434622,PG
punta arenas,-53.15,-70.9167,10.85,11.06,54,75,12.35,1644434622,CL
ust-maya,60.4167,134.5333,-28.01,-28.01,98,100,0.94,1644434623,RU
dingle,10.9995,122.6711,22.88,22.88,89,100,3.6,1644434623,PH
bengbu,32.9408,117.3608,2.71,2.71,89,63,1.49,1644434624,CN
vila franca do campo,37.7167,-25.4333,16.78,16.78,75,5,4.0,1644434624,PT
taywarah,33.35,64.4167,-12.16,-12.16,65,0,1.31,1644434625,AF
provideniya,64.3833,-173.3,-27.05,-27.05,84,13,2.68,1644434625,RU
ponta do sol,32.6667,-17.1,19.55,20.95,59,100,3.4,1644434625,PT
shizunai,42.3339,142.3669,-6.06,-6.06,69,4,2.65,1644434626,JP
madimba,-10.4,40.3333,26.67,26.67,83,100,4.66,1644434626,TZ
kodiak,57.79,-152.4072,-4.27,-4.27,50,0,9.77,1644434627,US
